sim,seed,dist_size,k,n_rep,naive_mean,jackknife_mean,bootstrap_mean,naive_t_test,bootstrap_t_test
1,1,500,7,10,0.032037537151297715,-0.009092691394575414,0.0054120152763251165,"Ttest_relResult(statistic=6.876276829043331, pvalue=7.256682799790129e-05)","Ttest_relResult(statistic=3.952123872513341, pvalue=0.003343930620894191)"
1,1,500,7,50,0.047714127479969524,0.0003788533057376231,0.019715122580521965,"Ttest_relResult(statistic=20.136978939167307, pvalue=2.3913720889647943e-25)","Ttest_relResult(statistic=11.111917364491537, pvalue=5.418918756836815e-15)"
1,1,500,7,100,0.04836526411888384,-0.0006148102545102652,0.020175927518746816,"Ttest_relResult(statistic=30.59167065726169, pvalue=2.964229022173968e-52)","Ttest_relResult(statistic=16.249966839554784, pvalue=1.0851569642644818e-29)"
1,1,500,7,200,0.04651067633824333,-0.0013052110879459217,0.0190915214698042,"Ttest_relResult(statistic=41.85022198002686, pvalue=1.3891700386277225e-100)","Ttest_relResult(statistic=21.503592295171128, pvalue=8.475529141953959e-54)"
2,1,500,7,10,0.048814301348298984,0.005498701543682083,0.021046854091615507,"Ttest_relResult(statistic=7.151398088834434, pvalue=5.3582260959463954e-05)","Ttest_relResult(statistic=4.018785075689438, pvalue=0.0030235885061550027)"
2,1,500,7,50,0.0649529355949532,0.015449366508097083,0.03598249992189659,"Ttest_relResult(statistic=20.798410773928875, pvalue=5.77471111048621e-26)","Ttest_relResult(statistic=11.674274601880018, pvalue=9.243044579788266e-16)"
2,1,500,7,100,0.06553327759489565,0.01437048964040236,0.03619501933278475,"Ttest_relResult(statistic=31.53546439769003, pvalue=1.9315367108485062e-53)","Ttest_relResult(statistic=16.859249638722925, pvalue=7.394183922685428e-31)"
2,1,500,7,200,0.06364402187383794,0.013677621062936048,0.03516067617319728,"Ttest_relResult(statistic=43.15433400045984, pvalue=5.658313640028787e-103)","Ttest_relResult(statistic=21.952529974518647, pvalue=4.67056720618675e-55)"
1,1,500,14,10,0.028499795926239958,0.00587271806410834,0.014068480553755308,"Ttest_relResult(statistic=7.325684700495698, pvalue=4.440977384862725e-05)","Ttest_relResult(statistic=6.247019928847255, pvalue=0.00015016788270951387)"
1,1,500,14,50,0.026733142144602068,0.004399640527251755,0.014266194377804207,"Ttest_relResult(statistic=14.303225136773852, pvalue=4.0562692956992883e-19)","Ttest_relResult(statistic=8.557064388171733, pvalue=2.7219191189082475e-11)"
1,1,500,14,100,0.027108346324482814,0.0048388681397366325,0.014696554982798298,"Ttest_relResult(statistic=18.94078459862307, pvalue=1.0900526452558055e-34)","Ttest_relResult(statistic=11.52624858356911, pvalue=5.328183413067681e-20)"
1,1,500,14,200,0.03093368162617999,0.006885883878503623,0.01741003498531333,"Ttest_relResult(statistic=30.185479185567246, pvalue=3.268031491296962e-76)","Ttest_relResult(statistic=17.86289107867575, pvalue=3.228756061764304e-43)"
2,1,500,14,10,0.0391097533145787,0.015801053702573942,0.024048265652413657,"Ttest_relResult(statistic=7.49910165945413, pvalue=3.696223640448732e-05)","Ttest_relResult(statistic=6.876735413505199, pvalue=7.252963015368598e-05)"
2,1,500,14,50,0.03732568024494655,0.014315129063364147,0.024460406045298252,"Ttest_relResult(statistic=14.601442628235583, pvalue=1.7816772949767975e-19)","Ttest_relResult(statistic=8.824204485925415, pvalue=1.0794728495068885e-11)"
2,1,500,14,100,0.03770973986847565,0.014760233705511494,0.02494013303996287,"Ttest_relResult(statistic=19.349756621409966, pvalue=2.0530057544423481e-35)","Ttest_relResult(statistic=11.870719171803799, pvalue=9.700586047520526e-21)"
2,1,500,14,200,0.04156925877097421,0.016818472968653055,0.02765623753557809,"Ttest_relResult(statistic=30.7956689846615, pvalue=1.2250129028024145e-77)","Ttest_relResult(statistic=18.20653013363462, pvalue=3.049894946906064e-44)"
1,1,500,28,10,0.026110379648829295,0.013987013603003312,0.01850183161332881,"Ttest_relResult(statistic=3.925859911025488, pvalue=0.0034798525271862025)","Ttest_relResult(statistic=2.2532842562985786, pvalue=0.05073030198119645)"
